name,ip,status,latency,datetime
LocalHost,127.0.0.1,1,0.05,2023-11-04 14:32:48
Gateway,192.168.200.1,1,1.62,2023-11-04 14:32:48
LocalHost,127.0.0.1,1,0.04,2023-11-04 14:32:53
Gateway,192.168.200.1,1,42.93,2023-11-04 14:32:53
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:32:58
Gateway,192.168.200.1,0,0,2023-11-04 14:32:59
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:33:04
Gateway,192.168.200.1,0,0,2023-11-04 14:33:05
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:33:10
Gateway,192.168.200.1,1,5.11,2023-11-04 14:33:10
LocalHost,127.0.0.1,1,0.04,2023-11-04 14:33:15
Gateway,192.168.200.1,1,51.3,2023-11-04 14:33:15
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:33:21
Gateway,192.168.200.1,1,34.65,2023-11-04 14:33:21
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:33:26
Gateway,192.168.200.1,1,1.33,2023-11-04 14:33:26
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:33:31
Gateway,192.168.200.1,1,1.89,2023-11-04 14:33:31
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:33:36
Gateway,192.168.200.1,1,1.48,2023-11-04 14:33:36
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:33:41
Gateway,192.168.200.1,1,1.27,2023-11-04 14:33:41
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:33:46
Gateway,192.168.200.1,1,1.56,2023-11-04 14:33:46
LocalHost,127.0.0.1,1,0.05,2023-11-04 14:33:51
Gateway,192.168.200.1,1,15.96,2023-11-04 14:33:51
LocalHost,127.0.0.1,1,0.07,2023-11-04 14:33:56
Gateway,192.168.200.1,1,17.62,2023-11-04 14:33:56
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:34:01
Gateway,192.168.200.1,1,2.27,2023-11-04 14:34:01
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:34:06
Gateway,192.168.200.1,1,6.71,2023-11-04 14:34:06
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:34:11
Gateway,192.168.200.1,1,2.25,2023-11-04 14:34:11
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:34:16
Gateway,192.168.200.1,1,3.79,2023-11-04 14:34:16
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:34:21
Gateway,192.168.200.1,1,2.12,2023-11-04 14:34:21
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:34:26
Gateway,192.168.200.1,1,6.65,2023-11-04 14:34:26
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:34:31
Gateway,192.168.200.1,1,7.35,2023-11-04 14:34:31
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:34:36
Gateway,192.168.200.1,1,50.31,2023-11-04 14:34:36
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:34:41
Gateway,192.168.200.1,1,3.04,2023-11-04 14:34:41
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:34:46
Gateway,192.168.200.1,1,8.99,2023-11-04 14:34:46
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:34:51
Gateway,192.168.200.1,1,1.56,2023-11-04 14:34:51
LocalHost,127.0.0.1,1,0.13,2023-11-04 14:34:56
Gateway,192.168.200.1,1,1.71,2023-11-04 14:34:56
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:35:01
Gateway,192.168.200.1,1,1.7,2023-11-04 14:35:01
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:35:06
Gateway,192.168.200.1,1,3.87,2023-11-04 14:35:06
LocalHost,127.0.0.1,1,0.07,2023-11-04 14:35:11
Gateway,192.168.200.1,1,1.86,2023-11-04 14:35:11
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:35:16
Gateway,192.168.200.1,1,1.44,2023-11-04 14:35:16
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:35:21
Gateway,192.168.200.1,1,1.52,2023-11-04 14:35:21
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:35:26
Gateway,192.168.200.1,1,1.53,2023-11-04 14:35:26
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:35:31
Gateway,192.168.200.1,1,1.51,2023-11-04 14:35:31
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:35:36
Gateway,192.168.200.1,1,1.53,2023-11-04 14:35:36
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:35:41
Gateway,192.168.200.1,1,1.61,2023-11-04 14:35:41
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:35:46
Gateway,192.168.200.1,1,1.62,2023-11-04 14:35:46
LocalHost,127.0.0.1,1,0.02,2023-11-04 14:35:51
Gateway,192.168.200.1,1,5.21,2023-11-04 14:35:51
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:35:56
Gateway,192.168.200.1,1,4.99,2023-11-04 14:35:56
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:36:01
Gateway,192.168.200.1,1,4.16,2023-11-04 14:36:01
LocalHost,127.0.0.1,1,0.01,2023-11-04 14:36:06
Gateway,192.168.200.1,1,5.3,2023-11-04 14:36:06
LocalHost,127.0.0.1,1,0.03,2023-11-04 14:36:11
